DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;;;;;;;;;;;;;;;;;;;;;;;
Bajka;Bajka;Levice;935 51;Tekovskı Hrádok;Tekovskı Hrádok;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Bajtava;Bajtava;Nové Zámky;943 65;Kamenica nad Hronom;Kamenica nad Hronom;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Baka;Baka;Dunajská Streda;930 04;Baka;Baka;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Baláe;Baláe;Banská Bystrica;976 11;Selce pri Banskej Bystrici;Selce pri B.Bystrici;601;BC;;;;;;;;;;;;;;;;;;;;;;;
Baldovce;Baldovce;Levoèa;053 04;Spišské Podhradie;Spišské Podhradie;704;PV;;;;;;;;;;;;;;;;;;;;;;;
Balog nad Ip¾om;Balog nad Ip¾om;Ve¾kı Krtíš;991 11;Balog nad Ip¾om;Balog nad Ip¾om;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Baloò;Baloò;Dunajská Streda;930 08;Èiliská Radvaò;Èiliská Radvaò;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Baòa;Baòa;Stropkov;091 01;Stropkov;Stropkov;711;PV;;;;;;;;;;;;;;;;;;;;;;;
Baòa Lucia;Baòa Lucia;Košice - okolie;044 25;Medzev;Medzev;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Banka;Banka;Piešany;921 01;Piešany 1;Piešany 1;204;TA;;;;;;;;;;;;;;;;;;;;;;;
Bánov;Bánov;Nové Zámky;941 01;Bánov pri Novıch Zámkoch;Bánov pri N.Zámkoch;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Bánovce nad Bebravou;Bánovce nad Bebravou;Bánovce nad Bebravou;;;Pozri zoz.ulíc s PSÈ;301;TC;;;;;;;;;;;;;;;;;;;;;;;
Bánovce nad Ondavou;Bánovce nad Ondavou;Michalovce;;;viï detail SÈ;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Banská Belá;Banská Belá;Banská Štiavnica;966 15;Banská Belá;Banská Belá;602;BC;;;;;;;;;;;;;;;;;;;;;;;
Banská Bystrica;Banská Bystrica;Banská Bystrica;;;Pozri zoz.ulíc s PSÈ;601;BC;;;;;;;;;;;;;;;;;;;;;;;
Banská Štiavnica;Banská Štiavnica;Banská Štiavnica;;;Pozri zoz.ulíc s PSÈ;602;BC;;;;;;;;;;;;;;;;;;;;;;;
Banské;Banské;Vranov nad Top¾ou;094 12;Vechec;Vechec;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Banskı Studenec;Banskı Studenec;Banská Štiavnica;969 01;Banská Štiavnica 1;Banská Štiavnica 1;602;BC;;;;;;;;;;;;;;;;;;;;;;;
Bara;Bara;Trebišov;076 32;Borša;Borša;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Barca;Barca;Rimavská Sobota;982 51;Figa;Figa;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Bardejov;Bardejov;Bardejov;;;Pozri zoz.ulíc s PSÈ;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Bardejovské Kúpele;Bardejovské Kúpele;Bardejov;086 31;Bardejovské kúpele;Bardejovské kúpele;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Bardoòovo;Bardoòovo;Nové Zámky;941 49;Podhájska;Podhájska;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Bartošova Lehôtka;Bartošova Lehôtka;iar nad Hronom;967 01;Kremnica 1;Kremnica 1;613;BC;;;;;;;;;;;;;;;;;;;;;;;
Bartošovce;Bartošovce;Bardejov;086 42;Hertník;Hertník;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Baška;Baška;Košice - okolie;040 16;Košice 16;Košice 16;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Baškovce;Baškovce;Humenné;067 23;Baškovce pri Humennom;Baškovce pri Humen.;702;PV;;;;;;;;;;;;;;;;;;;;;;;
Baškovce;Baškovce;Sobrance;073 01;Sobrance;Sobrance;809;KI;;;;;;;;;;;;;;;;;;;;;;;
Bašovce;Bašovce;Piešany;922 01;Ostrov pri Piešanoch;Ostrov pri Piešan.;204;TA;;;;;;;;;;;;;;;;;;;;;;;
Batizovce;Batizovce;Poprad;059 35;Batizovce;Batizovce;706;PV;;;;;;;;;;;;;;;;;;;;;;;
Bátka;Bátka;Rimavská Sobota;980 21;Bátka;Bátka;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Bátorová;Bátorová;Ve¾kı Krtíš;991 26;Nenince;Nenince;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Bátorove Kosihy;Bátorove Kosihy;Komárno;946 34;Bátorove Kosihy;Bátorove Kosihy;401;NI;;;;;;;;;;;;;;;;;;;;;;;
Bátovce;Bátovce;Levice;935 03;Bátovce;Bátovce;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Beckov;Beckov;Nové Mesto n.Váhom;;;viï detail SÈ;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Beckovská Vieska;Beckovská Vieska;Nové Mesto n.Váhom;916 31;Koèovce;Koèovce;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Beharovce;Beharovce;Levoèa;053 05;Beharovce;Beharovce;704;PV;;;;;;;;;;;;;;;;;;;;;;;
Becherov;Becherov;Bardejov;086 35;Zborov;Zborov;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Belá;Belá;ilina;013 05;Belá pri Varíne;Belá pri Varíne;511;ZI;;;;;;;;;;;;;;;;;;;;;;;
Belá;Belá;Nové Zámky;943 53;¼ubá;¼ubá;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Belá nad Cirochou;Belá nad Cirochou;Snina;067 81;Belá nad Cirochou;Belá nad Cirochou;709;PV;;;;;;;;;;;;;;;;;;;;;;;
Beladice;Beladice;Zlaté Moravce;951 75;Beladice;Beladice;407;NI;;;;;;;;;;;;;;;;;;;;;;;
Belá-Dulice;Belá - Dulice;Martin;038 11;Belá pri Martine;Belá pri Martine;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Belejovce;Belejovce;Svidník;089 01;Svidník;Svidník;712;PV;;;;;;;;;;;;;;;;;;;;;;;
Belek;Belek;Nové Zámky;941 48;Podhájska;Podhájska;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Belín;Belín;Rimavská Sobota;980 01;Rimavské Janovce;Rimavské Janovce;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Belina;Belina;Luèenec;986 01;Fi¾akovo;Fi¾akovo;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Belince;Belince;Topo¾èany;956 12;Prese¾any;Prese¾any;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Bellova Ves;Bellova Ves;Dunajská Streda;930 52;Blahová;Blahová;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Belovea;Belovea;Bardejov;086 14;Halín;Halín;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Beluj;Beluj;Banská Štiavnica;969 01;Banská Štiavnica 1;Banská Štiavnica 1;602;BC;;;;;;;;;;;;;;;;;;;;;;;
Beluša;Beluša;Púchov;018 61;Beluša;Beluša;308;TC;;;;;;;;;;;;;;;;;;;;;;;
Bela;Bela;Košice - okolie;044 58;Seòa;Seòa;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Beòadiková;Beòadiková;Liptovskı Mikuláš;032 04;Liptovskı Ondrej;Liptovskı Ondrej;505;ZI;;;;;;;;;;;;;;;;;;;;;;;
Beòadikovce;Beòadikovce;Svidník;090 42;Okrúhle;Okrúhle;712;PV;;;;;;;;;;;;;;;;;;;;;;;
Beòadovo;Beòadovo;Námestovo;029 63;Mútne;Mútne;507;ZI;;;;;;;;;;;;;;;;;;;;;;;
Beòatina;Beòatina;Sobrance;072 64;Podhoroï;Podhoroï;809;KI;;;;;;;;;;;;;;;;;;;;;;;
Beniakovce;Beniakovce;Košice - okolie;044 42;Rozhanovce;Rozhanovce;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Benice;Benice;Martin;038 42;Príbovce;Príbovce;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Benkovce;Benkovce;Vranov nad Top¾ou;094 02;Slovenská Kajòa;Slovenská Kajòa;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Beòuš;Beòuš;Brezno;976 64;Beòuš;Beòuš;603;BC;;;;;;;;;;;;;;;;;;;;;;;
Bernátovce;Bernátovce;Košice - okolie;044 13;Valaliky;Valaliky;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Bernolákovo;Bernolákovo;Senec;900 27;Bernolákovo;Bernolákovo;108;BL;;;;;;;;;;;;;;;;;;;;;;;
Bertotovce;Bertotovce;Prešov;082 35;Hendrichovce;Hendrichovce;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Beša;Beša;Levice;935 36;Lok;Lok;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Beša;Beša;Michalovce;076 72;Vojany;Vojany;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Bešeòov;Bešeòov;Nové Zámky;941 41;Bešeòov;Bešeòov;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Bešeòová;Bešeòová;Ruomberok;034 83;Liptovská Teplá;Liptovská Teplá;508;ZI;;;;;;;;;;;;;;;;;;;;;;;
Betlanovce;Betlanovce;Spišská Nová Ves;053 15;Hrabušice;Hrabušice;810;KI;;;;;;;;;;;;;;;;;;;;;;;
Betliar;Betliar;Roòava;049 21;Betliar;Betliar;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Bezdedov - Vieska;Bezdedov - Vieska;Púchov;020 01;Púchov 1;Púchov 1;308;TC;;;;;;;;;;;;;;;;;;;;;;;
Beovce;Beovce;Sobrance;072 53;Beovce;Beovce;809;KI;;;;;;;;;;;;;;;;;;;;;;;
Bidovce;Bidovce;Košice - okolie;044 45;Bidovce;Bidovce;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Biel;Biel;Trebišov;076 41;Biel;Biel;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Biele Vody;Biele Vody;Brezno;976 53;Lom nad Rimavicou;Lom nad Rimavicou;603;BC;;;;;;;;;;;;;;;;;;;;;;;
Bielovce;Bielovce;Levice;935 74;Ipe¾skı Sokolec;Ipe¾skı Sokolec;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Biely Kostol;Biely Kostol;Trnava;919 34;Biely Kostol;Biely Kostol;207;TA;;;;;;;;;;;;;;;;;;;;;;;
Bijacovce;Bijacovce;Levoèa;053 06;Bijacovce;Bijacovce;704;PV;;;;;;;;;;;;;;;;;;;;;;;
Bílkove Humence;Bílkove Humence;Senica;908 77;Borskı Mikuláš;Borskı Mikuláš;205;TA;;;;;;;;;;;;;;;;;;;;;;;
Bíòa;Bíòa;Nové Zámky;943 56;Bíòa;Bíòa;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Bíòovce;Bíòovce;Trnava;919 07;Bíòovce;Bíòovce;207;TA;;;;;;;;;;;;;;;;;;;;;;;
Biskupice;Biskupice;Luèenec;986 01;Fi¾akovo;Fi¾akovo;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Biskupová;Biskupová;Topo¾èany;956 07;Ve¾ké Ripòany;Ve¾ké Ripòany;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Bitarová;Bitarová;ilina;010 04;ilina 4;ilina 4;511;ZI;;;;;;;;;;;;;;;;;;;;;;;
Blahová;Blahová;Dunajská Streda;930 52;Blahová;Blahová;201;TA;;;;;;;;;;;;;;;;;;;;;;;
